municipality_code,appartement_avg_price_m2,appartement_med_size_m2,avg_net_salary,avg_price_m2,establishments_importance,house_avg_price_m2,house_med_size_m2,med_size_m2,n_appartement,n_house,n_sales,nb_second_home,nb_tot_housing,nb_vacants_housing,population,population_growth,total_amount,total_amount_appartement,total_amount_house,city_name_normalized,department_name,latitude,longitude
30189,2360.7488415199259,57.000276701715549,24647.099266852609,2577.8001915097352,1.6408269969038594,3058.2071794871795,96.020761245674734,66.991473812423877,2158.0,975.0,3133.0,4183,81770,6239,148561.0,-0.71641950639230734,607312154.75,291357812.71,315954342.04,Nimes,Gard,43.844938394,4.34806796996
34172,3376.1508806262232,53.990049550367985,25484.716865762148,3458.4007308160781,3.5636777460795397,4118.2072213500787,93.997208003722662,59.002664636467451,5110.0,637.0,5747.0,7250,171255,12728,295542.0,1.8924127659427858,1204282222.08,928038467.42,276243754.66,Montpellier,Hérault,43.6134409138,3.86851657896
29232,2019.0969976905312,55.005858448163892,25124.550836835093,2087.0967528164347,1.37136839132402,2178.6796267496111,98.00295857988165,69.008009858287124,866.0,643.0,1509.0,1132,38064,3629,63283.0,0.18522622930057242,240532816.58,94562784.96,145970031.62,Quimper,Finistère,47.9971425162,-4.09111944455
83061,4045.4635416666665,51.001173708920184,24901.3008721346,4162.2789634146338,0.82308201929540281,4480.866477272727,115.51531117864828,64.0016688040701,960.0,352.0,1312.0,16706,43791,1595,54458.0,1.2493957535418154,395341889.13,205123511.52,190218377.61,Frejus,Var,43.4719558114,6.76361597424
66136,1726.9031674208145,61.00352112676056,23060.948584392452,1847.2672872340424,1.6983885567625003,2180.6065162907266,100.0,69.979361161225668,1105.0,399.0,1504.0,2591,72598,11332,119344.0,0.13088565963015331,219533283.01,116953182.15,102580100.86,Perpignan,Pyrénées-Orientales,42.6965954131,2.89936953979
92023,6144.6834381551362,55.004557885141296,41783.095460864934,6938.8377997179123,0.32953618907177684,8571.6465517241377,100.0,65.004122011541639,477.0,232.0,709.0,780,24371,1276,52925.0,-0.0018894305256367261,363552422.43,161876468.13,201675954.3,Clamart,Hauts-De-Seine,48.7964306792,2.25474652922
93055,6886.290625,42.997983194342666,27115.572814293784,6974.2275362318842,0.61707773330000926,8099.82,82.503732503507649,44.998714322447931,640.0,50.0,690.0,626,27113,1132,59846.0,1.330849983068072,243723498.63,209334322.63,34389176.0,Pantin,Seine-Saint-Denis,48.8983093876,2.40872147475
63113,2317.4835526315787,61.013418022008821,26123.512474699091,2367.1570535093815,2.5652846885142608,2638.0224215246635,85.995085995086,64.993564993564988,1216.0,223.0,1439.0,3406,89832,7158,147865.0,0.77078250439570617,214823568.17,162841772.17,51981796.0,Clermont Ferrand,Puy-De-Dôme,45.7856492991,3.11554542903
92040,8692.2395348837217,50.998886693578783,46599.959986575996,8847.49187432286,1.014336623259021,10966.809523809523,120.99506340141322,52.999461497038233,860.0,63.0,923.0,2252,35970,1986,67981.0,-0.40873132141810986,485075453.39,405957958.39,79117495.0,Issy Les Moulineaux,Hauts-De-Seine,48.82347434,2.26449823277
69266,4007.138321995465,61.501068206941696,26725.868377955288,4104.4036080650867,0.44838564315571683,5526.3038674033151,88.994363690299608,62.996941896024467,2646.0,181.0,2827.0,2809,84104,7066,152212.0,1.0308046648391356,704734228.73,616921738.14,87812490.59,Villeurbanne,Rhône,45.7707704179,4.88845817426
78646,7753.4783377542,64.99792559811921,50761.419341215849,7960.9866771159877,0.99547491278857059,9579.5517241379312,119.99390912413205,69.500299080205792,1131.0,145.0,1276.0,1799,42347,3180,84808.0,-0.46593509770553876,800188559.86,617594284.86,182594275.0,Versailles,Yvelines,48.8025669671,2.11789297191
94033,6610.8323353293417,53.995680345572353,36364.465348572819,7284.1202185792354,0.19996924231037128,8744.3679653679646,80.0,60.998648841321469,501.0,231.0,732.0,426,23805,1525,52008.0,-0.47458665033680569,358339600.13,179386256.03,178953344.1,Fontenay Sous Bois,Val-De-Marne,48.8511046382,2.47395409774
