municipality_code,population,population_growth,avg_net_salary,nb_second_home,vacants_housing_rate,nb_tot_housing,nb_vacants_housing,rental_max_all,rental_min_all,rental_med_all,rental_max_house,rental_min_house,rental_med_house,rental_max_apartment,rental_min_apartment,establishments_importance,sites_importance,n_sales,total_amount,avg_price_m2,med_size_m2,n_house,total_amount_house,house_avg_price_m2,house_med_size_m2,n_appartement,total_amount_appartement,appartement_avg_price_m2,appartement_med_size_m2
73065,58917.0,0.1427770129009298,25679.8579340485,938,0.09637615679431652,32093,3093,21.92,8.68,12.67,18.31,8.26,13.7,22.5,8.75,1.6444758006654039,1.9384033850293891,1117.0,224867221.37,2913.6687555953445,68.99641577060932,112.0,46700780.33,3781.5178571428573,96.50635906536527,1005.0,178166441.04,2816.953233830846,65.98984771573605
74010,130721.0,1.9672540347428713,28080.91896529265,4232,0.06283054791622594,70905,4455,25.52,10.98,15.67,27.11,12.56,18.92,25.44,10.91,2.2018950203467935,2.0792291426461555,1641.0,594509302.57,5062.30225472273,67.99426934097421,170.0,125408927.96,6023.958823529411,110.00436348603661,1471.0,469100374.61,4951.165873555405,65.01095690284879
76351,168290.0,-0.8501587787878573,26549.872892685507,1998,0.10569909222753396,93085,9839,17.51,8.25,11.41,14.52,8.42,10.77,18.63,8.18,1.3533494977067022,3.075557339695764,3290.0,521670038.07,2365.3559270516716,64.99595346788128,1031.0,216359161.66,2495.838021338506,80.01306335728282,2259.0,305310876.41,2305.8043382027445,56.98529411764706
76540,112321.0,0.8629669540229923,27474.8930842295,1854,0.10717179068202727,72827,7805,21.74,9.31,12.86,15.75,9.33,12.4,22.82,9.31,1.6489947698660254,2.7635505853289133,2379.0,405739475.26,2919.952080706179,54.986338797814206,424.0,121528526.73,2989.5235849056603,86.99724843726298,1955.0,284210948.53,2904.8634271099745,48.0059880239521
77108,55154.0,0.010879814317843461,29090.70880859161,214,0.059804003685400786,23878,1428,25.92,12.37,17.54,25.21,12.85,18.65,26.52,11.95,0.39519152555737697,0.32932560686522183,877.0,237306277.56,3804.224629418472,69.9876492383697,381.0,145746274.12,4023.3622047244094,94.01709401709402,496.0,91560003.44,3635.8951612903224,56.00458116035233
77284,55750.0,0.6027140176122492,25010.980052843148,169,0.07883934320669672,24848,1959,23.66,10.02,15.42,23.13,9.89,15.24,23.8,10.06,0.27823331503986165,0.4197346326461131,840.0,179891516.32,3304.5,64.00355558415438,199.0,64740980.54,3238.6984924623116,97.01275120385232,641.0,115150535.78,3324.9282371294853,58.0046403712297
78586,52774.0,0.9661558476343535,32378.65631931768,171,0.052020269967263104,22299,1160,30.3,13.99,20.46,29.93,15.21,22.7,30.54,13.22,0.11387078882513302,0.18758379617263,753.0,254671759.58,4878.784860557769,67.0026129152669,313.0,151415306.72,5803.134185303515,85.00510030601836,440.0,103256452.86,4221.236363636363,61.994862350386086
78646,84808.0,-0.46593509770553876,50761.41934121585,1799,0.07509386733416773,42347,3180,30.89,13.4,19.55,30.06,15.06,22.27,30.99,13.19,0.9954749127885706,2.580266733226042,1276.0,800188559.86,7960.986677115988,69.50029908020579,145.0,182594275.0,9579.551724137931,119.99390912413205,1131.0,617594284.86,7753.4783377542,64.99792559811921
79191,59193.0,0.22689175231547232,29337.64505984148,958,0.08633677135241627,34516,2980,16.26,6.89,10.19,14.86,7.06,10.02,18.21,6.66,1.0622427377498993,0.8651629556759475,1520.0,239064917.8,2100.5809210526318,72.99039252811657,931.0,171572753.01,1956.9613319011814,86.01609657947687,589.0,67492164.79,2327.5925297113754,50.0
80021,134706.0,0.6087040951221478,25261.487039597352,1749,0.09002930186295331,74398,6698,19.58,7.52,11.76,13.39,6.69,9.79,23.26,8.01,1.3040890331611688,1.9598993663271056,2288.0,388659298.98,2524.721153846154,66.00748262960984,1123.0,230416373.76,2360.8441674087267,79.00801603206413,1165.0,158242925.22,2682.6901287553646,52.01109570041609
82121,61372.0,0.6890668066675376,24924.54309913896,450,0.1087657762049419,31931,3473,15.62,7.24,10.86,14.75,7.62,11.19,16.69,6.77,0.6601409068461955,1.1736153297896874,1409.0,281608933.25,2172.1533002129167,85.98887202832574,780.0,196926955.9,2203.1346153846152,105.00992161139568,629.0,84681977.35,2133.7344992050876,61.004784688995215
83061,54458.0,1.2493957535418154,24901.3008721346,16706,0.0364230092941472,43791,1595,22.59,9.99,14.82,23.35,9.8,15.62,22.28,10.07,0.8230820192954028,1.6470586770114892,1312.0,395341889.13,4162.278963414634,64.0016688040701,352.0,190218377.61,4480.866477272727,115.51531117864828,960.0,205123511.52,4045.4635416666665,51.001173708920184
83069,54821.0,-0.45034411374820227,25311.151949368006,10182,0.0686613061780052,39673,2724,20.98,9.94,13.97,18.92,10.57,13.94,21.92,9.65,2.75139896308034,3.8945293461200756,1543.0,486373940.07,4454.8075178224235,63.002680965147455,372.0,224777924.0,5315.387096774193,108.99661604141995,1171.0,261596016.07,4181.421007685739,53.992740471869325
83126,62987.0,0.15742271975576205,24118.32214320129,3676,0.0925543911763897,36357,3365,22.3,10.46,14.71,23.28,12.62,16.99,21.83,9.42,0.6354881344702488,0.8973318105496784,1578.0,373052507.88,3636.4036755386564,62.00533087178556,397.0,168975508.0,4528.56926952141,90.00620732464309,1181.0,204076999.88,3336.497036409822,54.002842254855516
83137,178745.0,1.4455328664343625,24507.96269575417,2639,0.04588065909454488,93765,4302,20.84,9.61,13.57,20.28,10.88,14.57,21.0,9.25,0.6424079575163238,1.16284407270312,3860.0,814823498.32,3118.7145077720206,61.00468992015915,615.0,284076833.79,4480.29918699187,93.99072393627748,3245.0,530746664.53,2860.663790446841,57.98969072164948
84007,91143.0,-0.6388383172170164,23640.74266103204,2142,0.15349268111914027,53970,8284,18.11,8.38,12.22,16.03,8.78,12.37,18.92,8.22,3.8654693591358233,7.880569305076543,1891.0,323562099.09,2567.7805393971444,64.98729889923793,534.0,134680794.98,2717.825842696629,86.49723398030369,1357.0,188881304.11,2508.735445836404,56.01851851851852
85191,55147.0,0.6956871051382318,24525.709714620658,691,0.05170803309314118,29976,1550,16.4,6.95,10.5,14.58,7.33,10.68,18.39,6.54,0.401039784348259,0.986823646167841,1162.0,202523684.04,2288.917383820998,73.50090461159442,624.0,137002736.05,2272.886217948718,91.49897317836249,538.0,65520947.99,2307.5111524163567,55.00194719661823
86194,89212.0,0.6169288896407776,23921.676392807094,1703,0.0823330697908431,55652,4582,17.26,7.52,10.92,14.67,7.75,10.76,18.31,7.42,1.7610108715652917,1.4722455601295064,1903.0,295739760.24,2380.0777719390435,63.99132321041215,707.0,152033852.22,2175.4922206506367,89.98054474708171,1196.0,143705908.02,2501.0158862876256,46.98795180722892
87085,130876.0,-0.4586283741129793,24318.002728066138,2331,0.08720739543980273,82321,7179,15.24,6.71,9.99,13.24,6.04,9.17,16.0,6.97,0.8818231969951498,1.9136037793803595,2697.0,366120829.0,1870.0363366703746,66.0180681028492,835.0,168050854.33,1996.9353293413174,90.0,1862.0,198069974.67,1813.1294307196563,57.995854288463946
91174,51234.0,0.5495152490481603,23940.77950984793,133,0.09149150906138928,22789,2085,23.5,11.13,15.37,21.27,13.1,16.35,24.24,10.49,0.14,0.29837123044517666,1024.0,173020966.35,2922.2724609375,57.498408306192914,271.0,72112760.25,3243.542435424354,81.00215185982171,753.0,100908206.1,2806.6494023904384,47.00162074554295
91228,66851.0,-0.41709493378617735,24560.630097960497,546,0.05635791073949398,27627,1557,24.28,10.64,15.36,23.23,12.34,16.94,24.42,10.41,0.5245541858968285,0.24973534923316046,796.0,135048896.22,2448.9133165829144,70.01268842531763,152.0,41653402.0,2930.6118421052633,91.01273083464818,644.0,93395494.22,2335.2204968944097,66.99147381242388
91377,50644.0,0.023700426607686786,32052.770995343282,497,0.03985061324958621,23563,939,29.62,12.45,18.5,30.39,14.9,22.33,29.52,12.13,0.5866165815183786,0.8098312392993188,669.0,182063021.77,4176.831091180867,64.99032882011605,87.0,37652896.9,5347.183908045977,85.00151653017895,582.0,144410124.87,4001.881443298969,63.99499934996598
